question	value
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	Other - Write In
Which of these did you feel as a result of your conversation?	Other - Write In
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	Other - Write In
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Other - Write In
Which of these did you feel as a result of your conversation?	None of the above
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	None of the above
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Other - Write In
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	More In-Control
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	None of the above
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	None of the above
Which of these did you feel as a result of your conversation?	Tested the text line
Which of these did you feel as a result of your conversation?	None of the above
Which of these did you feel as a result of your conversation?	Less Distressed
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	More Hopeful
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
Which of these did you feel as a result of your conversation?	More Confident
Which of these did you feel as a result of your conversation?	None of the above
Which of these did you feel as a result of your conversation?	Less Alone
Which of these did you feel as a result of your conversation?	Less Upset
