question	value
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	6
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	7 - Extremely stressed
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	7 - Extremely stressed
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	5
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	1
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	5
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	1
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	1
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	5
After your conversation today, how stressed are you right now?	5
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	1
After your conversation today, how stressed are you right now?	1
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	2
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	7 - Extremely stressed
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	5
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	3
After your conversation today, how stressed are you right now?	4
After your conversation today, how stressed are you right now?	5
After your conversation today, how stressed are you right now?	0 - Not at all stressed
After your conversation today, how stressed are you right now?	0 - Not at all stressed
